,error,delta_kp,delta_ki,delta_kd,algorithm_idx,episode_idx
0,-0.072,0.0,0.0,0.0,0,0
1,0.3468,0.0,0.0,0.0,0,0
2,0.2439,0.0,0.0,0.0,0,0
3,0.49,0.0,0.0,0.0,0,0
4,0.2445,0.0,0.0,0.0,0,0
5,0.8408,0.0,0.0,0.0,0,0
6,0.346,0.0,0.0,0.0,0,0
7,0.2345,0.0,0.0,0.0,0,0
8,-0.018,0.0,0.0,0.0,0,0
9,-0.1115,0.0,0.0,0.0,0,0
10,-0.3665,0.0,0.0,0.0,0,0
11,-0.0053,0.0,0.0,0.0,0,0
12,0.3221,0.0,0.0,0.0,0,0
13,-0.2052,0.0,0.0,0.0,0,0
14,-0.414,0.0,0.0,0.0,0,0
15,0.1242,0.0,0.0,0.0,0,0
16,0.2281,0.0,0.0,0.0,0,0
17,-0.2918,0.0,0.0,0.0,0,0
18,-0.034,0.0,0.0,0.0,0,0
19,0.0471,0.0,0.0,0.0,0,0
20,-0.0302,0.0,0.0,0.0,0,0
21,0.1529,0.0,0.0,0.0,0,0
22,0.1422,0.0,0.0,0.0,0,0
23,-0.1369,0.0,0.0,0.0,0,0
24,0.064,0.0,0.0,0.0,0,0
25,0.0663,0.0,0.0,0.0,0,0
26,-0.0814,0.0,0.0,0.0,0,0
27,-0.1248,0.0,0.0,0.0,0,0
28,0.0052,0.0,0.0,0.0,0,0
29,-0.0198,0.0,0.0,0.0,0,0
30,0.2179,0.0,0.0,0.0,0,0
31,0.1829,0.0,0.0,0.0,0,0
32,-0.4305,0.0,0.0,0.0,0,0
33,0.1354,0.0,0.0,0.0,0,0
34,0.1859,0.0,0.0,0.0,0,0
35,-0.2062,0.0,0.0,0.0,0,0
36,0.283,0.0,0.0,0.0,0,0
37,0.3058,0.0,0.0,0.0,0,0
38,0.415,0.0,0.0,0.0,0,0
39,-0.1763,0.0,0.0,0.0,0,0
40,-0.2202,0.0,0.0,0.0,0,0
41,0.1617,0.0,0.0,0.0,0,0
42,0.2451,0.0,0.0,0.0,0,0
43,-0.3048,0.0,0.0,0.0,0,0
44,-0.2334,0.0,0.0,0.0,0,0
45,0.1877,0.0,0.0,0.0,0,0
46,-0.0043,0.0,0.0,0.0,0,0
47,-0.0761,0.0,0.0,0.0,0,0
48,0.08,0.0,0.0,0.0,0,0
49,0.3462,0.0,0.0,0.0,0,0
50,0.3992,0.0,0.0,0.0,0,0
51,-0.1307,0.0,0.0,0.0,0,0
52,-0.0971,0.0,0.0,0.0,0,0
53,-0.1579,0.0,0.0,0.0,0,0
54,-0.1029,0.0,0.0,0.0,0,0
55,-0.1529,0.0,0.0,0.0,0,0
56,-0.1274,0.0,0.0,0.0,0,0
57,-0.1147,0.0,0.0,0.0,0,0
58,0.1045,0.0,0.0,0.0,0,0
59,-0.1447,0.0,0.0,0.0,0,0
60,-0.2202,0.0,0.0,0.0,0,0
61,-0.0696,0.0,0.0,0.0,0,0
62,0.1012,0.0,0.0,0.0,0,0
63,0.0303,0.0,0.0,0.0,0,0
64,-0.0676,0.0,0.0,0.0,0,0
65,-0.0814,0.0,0.0,0.0,0,0
66,0.1914,0.0,0.0,0.0,0,0
67,-0.2618,0.0,0.0,0.0,0,0
68,0.2079,0.0,0.0,0.0,0,0
69,0.1648,0.0,0.0,0.0,0,0
70,0.1992,0.0,0.0,0.0,0,0
71,0.2773,0.0,0.0,0.0,0,0
72,0.5927,0.0,0.0,0.0,0,0
73,-0.5289,0.0,0.0,0.0,0,0
74,-0.4115,0.0,0.0,0.0,0,0
75,-0.2125,0.0,0.0,0.0,0,0
76,-0.1774,0.0,0.0,0.0,0,0
77,0.3153,0.0,0.0,0.0,0,0
78,-0.3011,0.0,0.0,0.0,0,0
79,-0.2259,0.0,0.0,0.0,0,0
80,0.072,0.0,0.0,0.0,0,0
81,0.2672,0.0,0.0,0.0,0,0
82,0.0978,0.0,0.0,0.0,0,0
83,0.0761,0.0,0.0,0.0,0,0
84,-0.2364,0.0,0.0,0.0,0,0
85,0.026,0.0,0.0,0.0,0,0
86,0.2763,0.0,0.0,0.0,0,0
87,0.1076,0.0,0.0,0.0,0,0
88,0.1628,0.0,0.0,0.0,0,0
89,0.1019,0.0,0.0,0.0,0,0
