,PID_tunerPPO_high_torque_mode:PID,PID_tunerPPO_high_torque_mode:RL,PID_tunerPPO_low_torque_mode:PID,PID_tunerPPO_low_torque_mode:RL
0,-1.6314998,-0.9158349,-1.1043881,-1.205584
1,-1.5550259,-1.318367,-1.1348431,-0.93554956
2,-1.0276996,-1.4223373,-0.7816944,-1.3404465
3,-1.0530277,-1.9183795,-0.931033,-0.9840876
4,-1.368141,-1.9585854,-0.61605996,-1.2835417
5,-1.0516602,-1.8566988,-0.97365016,-0.55450475
6,-1.4390701,-1.3213644,-1.2629151,-0.8964909
7,-1.1260805,-1.3264047,-1.3722255,-1.1194836
8,-0.6946334,-1.2160193,-1.7893196,-1.4362227
9,-0.87344927,-0.96993047,-0.7575981,-1.1952384
10,-0.858162,-1.2393239,-0.9164969,-1.2437657
11,-1.4814318,-1.9730928,-0.6695006,-1.1384591
12,-1.1442968,-1.189808,-0.8910125,-1.1351475
13,-1.1606199,-0.58525884,-1.4328904,-0.7128879
14,-1.566839,-0.9870505,-1.3027655,-1.2101481
15,-1.8151933,-0.8599751,-1.1900539,-0.81718904
16,-1.0945803,-1.8834857,-1.2879815,-1.1550333
17,-1.2599683,-1.9472815,-1.7820643,-1.2159964
18,-0.7830806,-1.2187265,-1.4684051,-1.1642132
19,-0.8916583,-1.6188697,-0.6173603,-0.89607894
20,-1.4602368,-1.3841345,-0.50572586,-1.7905844
21,-1.5039186,-1.2271323,-0.4345173,-1.2441163
22,-1.0016085,-0.9831541,-1.0242996,-1.5107764
23,-0.8101216,-1.0729877,-1.1563902,-1.666134
24,-1.0041835,-1.1299838,-1.2198622,-1.280475
25,-1.6424689,-0.86862916,-1.7054627,-1.9136719
26,-2.0190864,-0.79597443,-1.3881781,-1.2541765
27,-0.85059464,-1.4817597,-1.2472785,-0.87519574
28,-0.92131263,-0.8428391,-1.0003859,-0.5193993
29,-1.3310208,-1.074719,-0.671194,-0.85170156
30,-1.5773164,-1.0985544,-1.2074361,-2.155099
31,-1.2936636,-0.8024479,-1.080021,-0.95097876
32,-1.7480693,-1.1255109,-0.9167946,-1.3088264
33,-0.5284964,-0.8518797,-1.1316915,-1.8247125
34,-0.89768493,-0.4325247,-1.0216398,-0.9805484
35,-1.1811198,-1.0126213,-0.78582376,-1.5887008
36,-1.1598139,-1.273352,-1.1779985,-0.9027525
37,-0.7538487,-0.5905874,-0.88335633,-1.326046
38,-0.6302488,-0.96351033,-0.46150863,-0.7627623
39,-1.0039864,-1.0624214,-1.470298,-1.712306
40,-0.9659175,-1.5499203,-1.2672033,-1.8595959
41,-1.2366463,-0.65455705,-1.242371,-0.83780634
42,-2.4501727,-1.3809663,-1.5284948,-0.77241105
43,-1.7687527,-1.6712341,-0.97048736,-0.7480751
44,-1.0752074,-0.79068285,-1.9518014,-0.7578917
45,-1.2427279,-0.90361327,-1.340021,-0.69831717
46,-1.3490112,-2.0294611,-1.0999897,-1.3911979
47,-0.681234,-1.5310484,-1.2468431,-1.4864932
48,-1.1928709,-1.7919748,-1.1954448,-0.9209265
49,-0.8453732,-2.379726,-1.7133114,-1.0115058
50,-1.4193953,-0.9997852,-1.1997232,-1.0399204
51,-0.79539686,-1.0915197,-1.3581728,-1.5266101
52,-1.8417716,-0.54398936,-0.65653616,-0.8416192
53,-1.5714325,-1.6085744,-0.88168544,-1.1033994
54,-1.3173004,-1.391177,-0.84820306,-0.9198076
55,-1.0378532,-1.088709,-1.1580038,-0.99044126
56,-1.785541,-1.103097,-0.8715522,-0.6335979
57,-1.080168,-1.0228287,-0.73642653,-1.5741754
58,-2.022222,-1.7145854,-0.69797915,-1.2290083
59,-0.9715239,-1.5057486,-1.396309,-1.4585049
60,-0.65038085,-0.7562146,-1.6028228,-1.6673799
61,-1.0652958,-1.3833721,-2.6053262,-1.4151378
62,-0.60223836,-1.5649765,-1.7803965,-1.0157814
63,-1.1646482,-1.7017452,-0.94094896,-1.0082027
64,-1.311055,-1.3064246,-0.8753976,-0.7678353
65,-0.5381678,-1.6011341,-0.9018399,-0.53558475
66,-1.288449,-0.6769063,-0.85630006,-1.7500811
67,-0.7364625,-1.0404038,-0.88460696,-0.752764
68,-0.90862226,-0.45139372,-0.5194726,-1.0778531
69,-0.7457322,-1.2004893,-1.4435364,-0.74488753
70,-1.0792811,-1.2421749,-1.1270772,-1.1025914
71,-1.3630779,-1.1125491,-1.2159667,-1.5455252
72,-0.73373294,-1.1875976,-0.8608,-0.83102506
73,-1.2602019,-1.4770737,-1.2659826,-1.127283
74,-0.72582537,-1.7857517,-1.065159,-0.5002818
75,-0.78434235,-0.9282325,-0.6749649,-1.0855716
76,-0.8466826,-0.5725547,-1.1893219,-1.2934408
77,-1.2207431,-1.1228833,-1.2198755,-1.333297
78,-0.4516346,-0.93923026,-0.71600115,-1.3824401
79,-0.410532,-1.3775089,-1.2252299,-1.0184276
80,-0.48870718,-1.3332801,-1.0589966,-0.87308997
81,-1.3721815,-1.5879327,-1.0697582,-0.23824959
82,-1.3933442,-1.2854925,-1.1482663,-1.3704334
83,-1.4369977,-1.335853,-1.0228932,-0.89531004
84,-1.8729498,-1.1140147,-1.2817274,-2.0342991
85,-1.2673471,-0.5645359,-1.1274265,-0.7401537
86,-1.2226969,-1.0529331,-1.613261,-0.89573115
87,-1.0857537,-1.1393872,-1.3947033,-1.1839395
88,-1.2666276,-0.81855255,-1.8588419,-0.8780593
89,-1.7589297,-1.4020058,-1.5851412,-0.36471874
90,-1.07509,-0.863938,-0.8101727,-0.8671877
91,-0.95977646,-0.7909183,-1.8487349,-0.36629477
92,-1.1716374,-1.7302722,-1.4957727,-1.610479
93,-0.61632866,-1.196696,-1.7351817,-1.4161447
94,-1.2498463,-1.1272484,-1.3712339,-1.4345917
95,-1.3975693,-1.3791902,-0.78927153,-1.0070297
96,-1.2213811,-1.0226088,-1.3822788,-1.5125308
97,-1.0763583,-1.4420227,-1.726701,-1.1533874
98,-0.7099445,-1.2646996,-1.7123992,-0.98634917
99,-1.384614,-1.325069,-1.2249206,-1.020438
100,-1.5432054,-0.6602563,-1.4141688,-1.7569962
101,-1.0305943,-1.2701439,-0.8409788,-1.5981244
102,-1.3447679,-0.5140062,-1.2422141,-0.6826997
103,-1.3982415,-1.1176574,-1.5220788,-1.2942411
