,PID_tunerPPO:PID,PID_tunerPPO:RL
0,-0.0672782,-0.001305864
1,-0.013858664,-0.0027165352
2,-0.00798583,-0.000111262496
3,-0.0073692673,-0.0028848625
4,-0.0071422616,-0.0016855929
5,-0.0070532174,-0.00021470564
6,-0.006991805,-0.003085494
7,-0.0069556297,-0.00033831786
8,-0.0069399634,-0.0025685586
9,-0.0068396735,-0.0005335884
10,-0.0013142481,-0.0021698254
11,-0.006940889,-0.0017457848
12,-0.006924579,-0.001493306
13,-0.004610907,-0.00011848633
14,-0.0068876995,-0.0015734398
15,-0.0069682356,-0.0013865096
16,-0.0069137136,-0.00020767322
17,-0.0069144326,-0.0009851027
18,-0.006892724,-0.0021772098
19,-0.006819473,-0.0013195236
