Wall time,Step,Value
1685945724.7093172,160,34.0
1685945734.061502,480,34.0
1685945735.0187538,512,34.0
1685945737.7333047,608,34.0
1685945738.5764232,640,34.0
1685945741.5514975,736,34.0
1685945745.4246104,864,34.0
1685945746.6759496,896,33.0
1685945759.2647552,1312,33.0
1685945765.6277494,1536,33.0
1685945766.6101227,1568,33.0
1685945767.4961398,1600,33.0
1685945772.6894414,1760,33.0
1685945779.330326,2016,34.0
1685945780.1367269,2048,34.0
1685945783.0135171,2144,34.0
1685945784.2402744,2176,33.0
1685945787.4781742,2272,33.0
1685945788.6059365,2304,33.0
1685945794.7682836,2496,33.0
1685945798.8294973,2656,33.0
1685945806.3305225,2880,33.0
1685945815.5965025,3200,33.0
1685945819.342628,3328,33.0
1685945822.9417672,3456,33.0
1685945835.9452894,3904,33.0
1685945840.2043273,4032,33.0
1685945841.120392,4064,33.0
1685945843.429789,4128,33.0
1685945845.177609,4192,33.0
1685945850.783104,4384,33.0
1685945858.4250796,4640,33.0
1685945860.3514113,4704,33.0
1685945861.2168229,4736,33.0
1685945864.4079902,4832,33.0
1685945871.3320374,5056,33.0
1685945874.9051802,5152,33.0
1685945876.8276238,5216,33.0
1685945878.6478083,5280,33.0
1685945885.4363756,5504,33.0
1685945886.3752832,5536,33.0
1685945891.1109061,5696,33.0
1685945898.5650713,5920,33.0
1685945899.4854922,5952,33.0
1685945900.3057334,5984,33.0
1685945905.1820295,6144,33.0
1685945906.2740307,6176,33.0
1685945917.3698766,6528,33.0
1685945918.942961,6592,33.0
1685945925.7951803,6784,32.0
1685945927.5298064,6848,33.0
1685945930.0357456,6912,32.0
1685945938.7050428,7200,32.0
1685945943.6953676,7360,32.0
1685945957.9093204,7840,32.0
1685945958.9203215,7872,32.0
1685945970.5711524,8288,33.0
1685945971.4316857,8320,33.0
1685945972.36422,8352,33.0
1685945984.3202553,8704,32.0
1685945987.1783652,8800,32.0
1685945991.1887736,8928,32.0
1685945994.98997,9056,32.0
1685945998.1891115,9152,32.0
1685946001.0709827,9248,32.0
1685946003.0038192,9312,32.0
1685946008.4875321,9472,32.0
1685946010.4671943,9536,32.0
1685946011.1718054,9568,32.0
1685946020.9329293,9888,32.0
1685946024.84625,10016,32.0
1685946029.6436222,10144,32.0
1685946031.528666,10208,32.0
1685946032.886894,10240,32.0
1685946036.1038442,10336,32.0
1685946051.5480049,10816,32.0
1685946058.5127006,11072,32.0
1685946059.4309788,11104,32.0
1685946071.3532128,11488,32.0
1685946077.329043,11680,32.0
1685946078.2941213,11712,32.0
1685946079.1322403,11744,32.0
1685946090.7491584,12128,32.0
1685946099.4055798,12384,32.0
1685946103.659729,12512,32.0
1685946105.7875443,12576,32.0
1685946111.419949,12736,32.0
1685946115.8707714,12896,32.0
1685946117.6442027,12960,32.0
1685946129.0726535,13312,32.0
1685946134.8548884,13504,32.0
1685946135.536761,13536,32.0
1685946148.7243977,13984,32.0
1685946149.6024024,14016,32.0
1685946151.2805552,14080,32.0
1685946155.5083199,14208,32.0
1685946156.6446996,14240,32.0
1685946158.6786706,14304,32.0
1685946164.7116666,14496,32.0
1685946168.1595871,14624,32.0
1685946173.1797607,14784,32.0
1685946176.8647385,14912,32.0
1685946179.2907574,15008,32.0
1685946181.2997675,15072,32.0
1685946185.0278573,15200,32.0
1685946186.068327,15232,32.0
1685946190.8059278,15392,32.0
1685946191.8800302,15424,32.0
1685946198.326029,15616,32.0
1685946200.023603,15680,32.0
1685946204.7734761,15840,32.0
1685946220.9188204,16352,32.0
1685946221.6642394,16384,32.0
1685946222.9392285,16416,32.0
1685946224.0807633,16448,32.0
1685946225.4264789,16480,32.0
1685946228.1742883,16576,32.0
1685946229.0148215,16608,32.0
1685946229.6958766,16640,32.0
1685946243.1476328,17088,32.0
1685946243.9030242,17120,32.0
1685946245.9441252,17184,32.0
1685946246.934115,17216,32.0
1685946247.6752937,17248,32.0
1685946249.3562841,17312,32.0
1685946253.4996243,17440,32.0
1685946255.7291713,17504,32.0
1685946259.5161173,17632,32.0
1685946261.310672,17696,32.0
1685946264.6958563,17824,32.0
1685946270.4233325,18016,32.0
1685946272.1722825,18080,32.0
1685946276.03519,18208,32.0
1685946280.8243632,18368,32.0
1685946291.1565855,18720,32.0
1685946292.0962427,18752,32.0
1685946295.0757122,18848,32.0
1685946296.852235,18912,32.0
1685946297.7690992,18944,32.0
1685946300.497142,19040,32.0
1685946302.3516443,19104,32.0
1685946313.5974684,19488,32.0
1685946318.2691295,19648,32.0
1685946319.0247915,19680,32.0
1685946327.0811586,19936,32.0
1685946327.7817118,19968,32.0
1685946332.7008343,20128,32.0
1685946333.5854104,20160,32.0
1685946337.4109068,20288,32.0
1685946341.342223,20416,32.0
1685946347.5288842,20608,32.0
1685946348.6825228,20640,32.0
1685946354.144832,20800,32.0
1685946356.0882158,20864,32.0
1685946362.553586,21088,32.0
