Wall time,Step,Value
1685945725.5435398,192,-0.057985056191682816
1685945735.0191026,512,-0.049015481024980545
1685945736.0150697,544,0.012320995330810547
1685945738.5766149,640,-0.03511512652039528
1685945739.5317223,672,-0.046995148062705994
1685945742.6080148,768,-0.05887115001678467
1685945746.6761622,896,-0.0332019068300724
1685945747.7253423,928,-0.045500025153160095
1685945760.0277123,1344,-0.02371153049170971
1685945766.6103415,1568,-0.050672270357608795
1685945767.496354,1600,-0.022277042269706726
1685945768.7390625,1632,-0.11018362641334534
1685945773.7138226,1792,-0.03344718739390373
1685945780.1369786,2048,0.007755215745419264
1685945780.9682276,2080,-0.04881422966718674
1685945784.2406423,2176,-0.05309362709522247
1685945785.6283524,2208,-0.019216809421777725
1685945788.606153,2304,-0.06324686855077744
1685945790.0284436,2336,-0.0579402819275856
1685945795.5694492,2528,-0.01512166578322649
1685945799.858557,2688,0.006616611033678055
1685945807.2436125,2912,-0.006557172164320946
1685945816.7273593,3232,0.024983078241348267
1685945820.2202206,3360,-0.07793399691581726
1685945824.0404992,3488,-0.06333591043949127
1685945836.8729057,3936,-0.02630457654595375
1685945841.1206238,4064,-0.058355994522571564
1685945842.2705703,4096,-0.0914134830236435
1685945844.2220302,4160,-0.03984621912240982
1685945846.2062051,4224,-0.08562503010034561
1685945851.820985,4416,-0.058061715215444565
1685945859.4969096,4672,-0.03715573623776436
1685945861.2170155,4736,0.017579102888703346
1685945862.0815349,4768,-0.08336737751960754
1685945865.3363538,4864,-0.010637995786964893
1685945872.2665954,5088,-0.06390271335840225
1685945875.845397,5184,-0.07498079538345337
1685945877.657426,5248,-0.0454939603805542
1685945879.720261,5312,-0.010401281528174877
1685945886.3756166,5536,-0.03457820042967796
1685945887.437774,5568,-0.09177323430776596
1685945891.9817417,5728,-0.04997393861413002
1685945899.4857879,5952,-0.04438319802284241
1685945900.3060112,5984,-0.04550018906593323
1685945901.270438,6016,-0.07121068239212036
1685945906.2743423,6176,-0.05809815600514412
1685945907.3435905,6208,-0.03314192220568657
1685945918.0393991,6560,-0.06787453591823578
1685945919.9162376,6624,-0.06205381080508232
1685945926.6973715,6816,-0.009715030901134014
1685945928.9824533,6880,-0.070504330098629
1685945931.0867536,6944,-0.08997603505849838
1685945939.8478317,7232,-0.062284983694553375
1685945944.4403553,7392,-0.07762517035007477
1685945958.920518,7872,-0.019546594470739365
1685945959.7601843,7904,-0.030487647280097008
1685945971.4319546,8320,-0.06460044533014297
1685945972.3645403,8352,-0.03980899974703789
1685945973.3829298,8384,-0.03860453888773918
1685945985.0830545,8736,0.0016483549261465669
1685945988.079439,8832,-0.06508632004261017
1685945992.0344343,8960,-0.04331393539905548
1685945995.874218,9088,-0.052753694355487823
1685945999.132098,9184,-0.02536725252866745
1685946002.0501542,9280,-0.015056856907904148
1685946003.9003768,9344,-0.031818535178899765
1685946009.6803694,9504,-0.037429843097925186
1685946011.1720612,9568,-0.07599622011184692
1685946012.4674134,9600,-0.06138049066066742
1685946021.6958966,9920,-0.09733358025550842
1685946026.0205386,10048,-0.056152183562517166
1685946030.4539838,10176,-0.05868624895811081
1685946032.8871534,10240,-0.04241858422756195
1685946033.9958038,10272,-0.06071818992495537
1685946037.080263,10368,-0.0062729069031775
1685946052.273856,10848,-0.06663303822278976
1685946059.4311724,11104,-0.03969665244221687
1685946060.1781425,11136,-0.015715617686510086
1685946072.3326266,11520,-0.09365799278020859
1685946078.294722,11712,-0.013638862408697605
1685946079.1326501,11744,-0.0808398574590683
1685946079.9010987,11776,-0.005912907421588898
1685946092.0496144,12160,-0.014292019419372082
1685946100.4441032,12416,-0.058034420013427734
1685946104.7185655,12544,-0.012011008337140083
1685946106.84925,12608,-0.04472901299595833
1685946112.4705453,12768,-0.07075813412666321
1685946116.7998004,12928,-0.0069396961480379105
1685946118.623012,12992,-0.04581970348954201
1685946130.3823636,13344,-0.015562622807919979
1685946135.537071,13536,-0.07215700298547745
1685946136.8134942,13568,-0.03406180068850517
1685946149.6028266,14016,-0.04478354752063751
1685946150.6089804,14048,-0.06953467428684235
1685946152.194763,14112,-0.01763450913131237
1685946156.6449096,14240,-0.03327549248933792
1685946157.6499794,14272,-0.05928383767604828
1685946159.7664907,14336,-0.052610933780670166
1685946165.6585004,14528,-0.05160478129982948
1685946169.4018655,14656,-0.08761102706193924
1685946174.2908587,14816,-0.08875438570976257
1685946177.6382735,14944,-0.09933790564537048
1685946180.258471,15040,-0.02934364415705204
1685946182.0397599,15104,-0.08161871880292892
1685946186.0687778,15232,-0.016283636912703514
1685946187.00509,15264,-0.06031118705868721
1685946191.8803658,15424,-0.0561663992702961
1685946193.1450002,15456,-0.09712499380111694
1685946199.0357945,15648,-0.03233814239501953
1685946200.9492245,15712,-0.03520125150680542
1685946205.7459517,15872,-0.11129843443632126
1685946221.664628,16384,-0.04303731024265289
1685946222.9396617,16416,0.001945189549587667
1685946224.0811634,16448,-0.0242313239723444
1685946225.4268346,16480,-0.03794732689857483
1685946226.1766922,16512,-0.02639123983681202
1685946229.0150416,16608,-0.054906535893678665
1685946229.6960828,16640,-0.04844125732779503
1685946230.706438,16672,0.004338557831943035
1685946243.9032743,17120,-0.023418886587023735
1685946245.0763793,17152,-0.061362385749816895
1685946246.934338,17216,-0.05800773203372955
1685946247.675607,17248,-0.038641057908535004
1685946248.557357,17280,-0.08738060295581818
1685946250.4114935,17344,-0.06984249502420425
1685946254.460367,17472,-0.12446234375238419
1685946256.8178232,17536,-0.07674092054367065
1685946260.531727,17664,-0.04856609180569649
1685946262.0425365,17728,-0.03250892832875252
1685946265.8256862,17856,-0.007129398174583912
