Wall time,Step,Value
1686496790.4639835,640,-12.477508544921875
1686496824.2468555,960,-12.477508544921875
1686496827.6938267,992,-12.477508544921875
1686496839.005636,1088,-9.520075798034668
1686496842.4046276,1120,-9.520075798034668
1686496852.7228346,1216,-9.520075798034668
1686496866.2707603,1344,-9.520075798034668
1686496869.668928,1376,-9.520075798034668
1686496914.9159296,1792,-8.018132209777832
1686496941.4709907,2016,-4.806232929229736
1686496944.8399215,2048,-4.806232929229736
1686496948.2150912,2080,-4.806232929229736
1686496965.1040976,2240,-4.806232929229736
1686496993.057083,2496,-4.643238067626953
1686496997.373913,2528,-4.143739700317383
1686497007.5055914,2624,-4.143739700317383
1686497010.8793232,2656,-4.143739700317383
1686497021.008806,2752,-4.143739700317383
1686497024.3825018,2784,-4.143739700317383
1686497044.7206788,2976,-4.143739700317383
1686497063.5634086,3136,-3.7133572101593018
1686497088.2406185,3360,-3.4205095767974854
1686497123.9832423,3680,-3.179793119430542
1686497137.4119534,3808,-3.179793119430542
1686497150.968301,3936,-3.179793119430542
1686497202.228496,4384,-2.6350064277648926
1686497215.7399929,4512,-2.6350064277648926
1686497219.1166067,4544,-2.6350064277648926
1686497225.858546,4608,-2.6350064277648926
1686497232.607279,4672,-2.6350064277648926
1686497254.737681,4864,-2.5481584072113037
1686497283.610757,5120,-2.3483848571777344
1686497290.3545623,5184,-2.3483848571777344
1686497293.724562,5216,-2.3483848571777344
1686497303.8464737,5312,-2.3483848571777344
1686497327.4587007,5536,-2.3483848571777344
1686497338.6319861,5632,-2.3956499099731445
1686497345.3771708,5696,-2.3956499099731445
1686497352.123536,5760,-2.3956499099731445
1686497376.7118375,5984,-2.3778765201568604
1686497380.0850585,6016,-2.3778765201568604
1686497398.0611966,6176,-2.3209407329559326
1686497421.8172193,6400,-2.3209407329559326
1686497425.1901195,6432,-2.3209407329559326
1686497428.5637968,6464,-2.3209407329559326
1686497446.4815874,6624,-2.306959867477417
1686497449.8528683,6656,-2.306959867477417
1686497488.3126166,7008,-2.3181118965148926
1686497495.0836334,7072,-2.3181118965148926
1686497515.3903303,7264,-2.3181118965148926
1686497523.1449375,7328,-2.3185319900512695
1686497529.945398,7392,-2.3185319900512695
1686497561.2812314,7680,-2.261209011077881
1686497578.169395,7840,-2.261209011077881
1686497633.6508827,8320,-2.035832166671753
1686497637.0251322,8352,-2.035832166671753
1686497681.8510437,8768,-2.011944532394409
1686497685.2291925,8800,-2.011944532394409
1686497688.6155574,8832,-2.011944532394409
1686497726.8009474,9184,-2.0671069622039795
1686497736.9777668,9280,-2.0671069622039795
1686497752.471517,9408,-2.0004305839538574
1686497765.990692,9536,-2.0004305839538574
1686497778.2087893,9632,-1.9208072423934937
1686497788.342015,9728,-1.9208072423934937
1686497797.0346437,9792,-1.8449435234069824
1686497814.1101804,9952,-1.8449435234069824
1686497820.8822193,10016,-1.8449435234069824
1686497824.2730248,10048,-1.8449435234069824
1686497860.0359294,10368,-1.8175714015960693
1686497874.4820998,10496,-1.7954825162887573
1686497889.884537,10624,-1.7263222932815552
1686497896.6805284,10688,-1.7263222932815552
1686497900.0735002,10720,-1.7263222932815552
1686497910.3829885,10816,-1.7263222932815552
1686497967.127283,11296,-1.5792261362075806
1686497998.0346615,11552,-1.4855847358703613
1686498003.4147992,11584,-1.4366083145141602
1686498048.8620827,11968,-1.3429347276687622
1686498073.122466,12160,-1.2704945802688599
1686498076.4944613,12192,-1.2704945802688599
1686498079.8688073,12224,-1.2704945802688599
1686498123.7242079,12608,-1.2327070236206055
1686498153.7439208,12864,-1.2063041925430298
1686498169.2736082,12992,-1.183984398841858
1686498176.0262496,13056,-1.183984398841858
1686498194.9191067,13216,-1.1627745628356934
1686498214.873048,13376,-1.1294981241226196
1686498221.6288512,13440,-1.1294981241226196
1686498260.7479775,13792,-1.1294316053390503
1686498283.112683,13984,-1.1078636646270752
1686498286.5307996,14016,-1.1078636646270752
1686498339.77885,14464,-1.052108883857727
1686498343.1523092,14496,-1.052108883857727
1686498351.9119828,14560,-1.035866141319275
1686498365.4334075,14688,-1.035866141319275
1686498368.8297424,14720,-1.035866141319275
1686498375.7853506,14784,-1.035866141319275
1686498400.1030273,14976,-1.009721040725708
1686498416.49143,15104,-0.9819847941398621
1686498434.4342082,15264,-0.7352111339569092
1686498448.8941627,15392,-0.7372417449951172
1686498461.0346665,15488,-0.6758065223693848
1686498469.727832,15552,-0.6614406108856201
1686498487.1855195,15680,-0.5920736193656921
1686498490.5632071,15712,-0.5920736193656921
1686498513.4360344,15872,-0.5333800911903381
1686498516.8098483,15904,-0.5333800911903381
1686498540.1315484,16096,-0.5015137195587158
1686498546.883835,16160,-0.5015137195587158
1686498565.7605145,16320,-0.5018728375434875
1686498631.6957476,16832,-0.340984046459198
1686498635.0716739,16864,-0.340984046459198
1686498638.442771,16896,-0.340984046459198
1686498641.8193154,16928,-0.340984046459198
1686498647.2004948,16960,-0.33110037446022034
1686498660.3909748,17056,-0.27619555592536926
1686498664.7705078,17088,-0.2697896957397461
1686498668.20069,17120,-0.2697896957397461
1686498720.311807,17568,-0.24612241983413696
1686498726.672556,17600,-0.24217958748340607
1686498734.4383318,17664,-0.22652150690555573
1686498737.8173285,17696,-0.22652150690555573
1686498743.1976287,17728,-0.22546011209487915
1686498749.9505446,17792,-0.22546011209487915
1686498766.4598377,17920,-0.22464126348495483
1686498776.21385,17984,-0.21615783870220184
1686498791.713193,18112,-0.21858595311641693
1686498800.4678729,18176,-0.21943001449108124
1686498815.0271223,18304,-0.22373634576797485
1686498837.3000717,18496,-0.22278544306755066
1686498845.0014815,18560,-0.22031588852405548
1686498858.5078652,18688,-0.22031588852405548
1686498880.4622028,18848,-0.21228329837322235
1686498924.5662422,19200,-0.19439682364463806
1686498929.9494824,19232,-0.19155582785606384
1686498941.0241933,19328,-0.18475134670734406
1686498949.7823765,19392,-0.187017023563385
1686498954.1364841,19424,-0.18373680114746094
1686498966.2302275,19520,-0.16506893932819366
1686498974.8683028,19584,-0.15393805503845215
1686499020.4754272,19968,-0.16020455956459045
1686499039.3759549,20128,-0.15867434442043304
1686499042.7540877,20160,-0.15867434442043304
1686499072.727815,20416,-0.15335212647914886
1686499077.0730648,20448,-0.15349487960338593
1686499095.0442498,20608,-0.1592598557472229
1686499099.3985932,20640,-0.15954111516475677
1686499116.0085628,20768,-0.15800370275974274
1686499136.3760192,20896,-0.1469077169895172
1686499159.550208,21088,-0.15073856711387634
1686499162.9281175,21120,-0.15073856711387634
1686499180.762884,21280,-0.1539870649576187
1686499189.5118387,21344,-0.155612975358963
1686499218.089022,21568,-0.14497892558574677
1686499226.726518,21632,-0.14365708827972412
1686499257.3258073,21856,-0.1443357616662979
1686499289.3835893,22112,-0.13920924067497253
1686499292.83608,22144,-0.13920924067497253
1686499312.4173129,22272,-0.1389506310224533
1686499329.076902,22400,-0.13613399863243103
1686499366.0525208,22656,-0.12553438544273376
1686499375.769209,22720,-0.12496230006217957
1686499449.495884,23232,-0.10169956833124161
1686499497.7022924,23584,-0.09441109001636505
1686499507.3952959,23648,-0.08766260743141174
1686499520.1434996,23712,-0.072950080037117
1686499523.5102623,23744,-0.072950080037117
